epoch,train_loss,train_accuracy,train_balanced_accuracy,train_malignant_f1,val_loss,val_accuracy,val_balanced_accuracy,val_malignant_precision,val_sensitivity,val_specificity,val_malignant_f1,learning_rate,epoch_time_seconds
1,0.8143766282318246,0.955,0.49636174636174635,0.0,0.5493627948451401,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,20.240963220596313
2,0.6436899975720817,0.962,0.5,0.0,0.5278713980948865,0.9658848614072495,0.5311306901615271,0.3333333333333333,0.06666666666666667,0.9955947136563876,0.1111111111111111,0.0001,19.99901795387268
3,0.5574848512746332,0.962,0.5126381442170916,0.05,0.4236481118888734,0.9552238805970149,0.5256240822320117,0.125,0.06666666666666667,0.9845814977973568,0.08695652173913043,0.0001,19.605479955673218
4,1.0757989792065132,0.962,0.5,0.0,0.425037534705883,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,45.56512784957886
5,0.8046986774210945,0.962,0.5126381442170916,0.05,0.4472035799685039,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,45.51618003845215
6,0.7260413261406754,0.965,0.5521118284276179,0.18604651162790697,0.6379490755050402,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,44.952661991119385
7,0.6537905489619958,0.966,0.5779078673815516,0.2608695652173913,0.8220129025785854,0.9701492537313433,0.5333333333333333,1.0,0.06666666666666667,1.0,0.125,2.5e-05,45.21517896652222
8,0.44016585859759944,0.972,0.6568552358026043,0.46153846153846156,1.1727731712718241,0.9680170575692963,0.5322320117474303,0.5,0.06666666666666667,0.9977973568281938,0.11764705882352941,2.5e-05,47.95705699920654
9,0.5547589344836535,0.973,0.6826512747565379,0.509090909090909,0.6101646242587553,0.9594882729211087,0.6889867841409691,0.375,0.4,0.9779735682819384,0.3870967741935484,2.5e-05,46.29528498649597
10,0.3491780804164909,0.979,0.7615986431775905,0.6557377049180327,0.8495250327519592,0.9722814498933902,0.6311306901615271,0.6666666666666666,0.26666666666666666,0.9955947136563876,0.38095238095238093,2.5e-05,45.15736198425293
11,0.2667191035984171,0.974,0.758999890578838,0.6060606060606061,0.7523879711957331,0.9509594882729211,0.6845814977973568,0.3,0.4,0.9691629955947136,0.34285714285714286,2.5e-05,44.98097205162048
12,0.2527196087859081,0.984,0.8147499726447095,0.75,1.1002160407443649,0.9616204690831557,0.6256240822320117,0.36363636363636365,0.26666666666666666,0.9845814977973568,0.3076923076923077,2.5e-05,45.30590796470642
13,0.2675898760656108,0.983,0.8142302221249589,0.7384615384615385,0.941385526889553,0.9594882729211087,0.7212187958883994,0.3888888888888889,0.4666666666666667,0.9757709251101322,0.42424242424242425,2.5e-05,45.054590940475464
14,0.28228405439849313,0.986,0.8663420505525768,0.8,1.0411239772310046,0.9744136460554371,0.6644640234948604,0.7142857142857143,0.3333333333333333,0.9955947136563876,0.45454545454545453,2.5e-05,45.08820104598999
