epoch,train_loss,train_accuracy,train_balanced_accuracy,train_malignant_precision,train_malignant_recall,train_malignant_f1,val_loss,val_accuracy,val_balanced_accuracy,val_malignant_precision,val_malignant_recall,val_specificity,val_malignant_f1,learning_rate,epoch_time_seconds
20,0.028416851382665587,0.997,0.9731644600065652,0.972972972972973,0.9473684210526315,0.96,1.0541358308013673,0.9573560767590619,0.7201174743024963,0.3684210526315789,0.4666666666666667,0.973568281938326,0.4117647058823529,6.25e-06,36.461524963378906
21,0.009271197555851695,0.998,0.9863223547434075,0.9736842105263158,0.9736842105263158,0.9736842105263158,1.1848256518668867,0.9722814498933902,0.727826725403818,0.5833333333333334,0.4666666666666667,0.9889867841409692,0.5185185185185185,6.25e-06,36.27574586868286
22,0.09955309382947913,0.996,0.9473684210526316,1.0,0.8947368421052632,0.9444444444444444,1.0048572506202393,0.9701492537313433,0.6622613803230544,0.5555555555555556,0.3333333333333333,0.9911894273127754,0.4166666666666667,6.25e-06,36.45299983024597
23,0.03202016219524363,0.997,0.9731644600065652,0.972972972972973,0.9473684210526315,0.96,0.8889007653770741,0.9637526652452025,0.7556534508076358,0.4444444444444444,0.5333333333333333,0.9779735682819384,0.48484848484848486,3.125e-06,36.37969183921814
24,0.022640988002199564,0.997,0.9731644600065652,0.972972972972973,0.9473684210526315,0.96,0.9306166466780575,0.9722814498933902,0.7600587371512482,0.5714285714285714,0.5333333333333333,0.986784140969163,0.5517241379310345,3.125e-06,36.5701630115509
25,0.01886736745375863,0.997,0.9731644600065652,0.972972972972973,0.9473684210526315,0.96,0.965647651701852,0.9786780383795309,0.7633627019089574,0.7272727272727273,0.5333333333333333,0.9933920704845814,0.6153846153846154,3.125e-06,36.30049777030945
26,4.20299703452196e-05,1.0,1.0,1.0,1.0,1.0,1.0066861969470835,0.976545842217484,0.7300293685756241,0.7,0.4666666666666667,0.9933920704845814,0.56,3.125e-06,36.433473110198975
27,0.052151287387131436,0.999,0.986842105263158,1.0,0.9736842105263158,0.9866666666666667,0.9864622871395023,0.9680170575692963,0.757856093979442,0.5,0.5333333333333333,0.9823788546255506,0.5161290322580645,3.125e-06,36.406501054763794
28,6.45632670371774e-05,1.0,1.0,1.0,1.0,1.0,1.0116324274954762,0.9658848614072495,0.7567547723935388,0.47058823529411764,0.5333333333333333,0.9801762114537445,0.5,3.125e-06,36.473329067230225
29,0.04907260161322595,0.999,0.986842105263158,1.0,0.9736842105263158,0.9866666666666667,0.9829995495062964,0.9680170575692963,0.757856093979442,0.5,0.5333333333333333,0.9823788546255506,0.5161290322580645,1.5625e-06,36.45011806488037
30,0.002203613702411845,0.999,0.9994802494802495,0.9743589743589743,1.0,0.987012987012987,1.0359458605071554,0.976545842217484,0.7622613803230543,0.6666666666666666,0.5333333333333333,0.9911894273127754,0.5925925925925926,1.5625e-06,36.42087697982788
31,0.00022064467102185569,1.0,1.0,1.0,1.0,1.0,1.0495242501982551,0.976545842217484,0.7622613803230543,0.6666666666666666,0.5333333333333333,0.9911894273127754,0.5925925925925926,1.5625e-06,36.52946209907532
32,3.5721545322995317e-06,1.0,1.0,1.0,1.0,1.0,1.0479054371698535,0.976545842217484,0.7622613803230543,0.6666666666666666,0.5333333333333333,0.9911894273127754,0.5925925925925926,1.5625e-06,36.52139401435852
33,0.00010002182520353353,1.0,1.0,1.0,1.0,1.0,1.0797433802914036,0.976545842217484,0.7622613803230543,0.6666666666666666,0.5333333333333333,0.9911894273127754,0.5925925925925926,7.8125e-07,36.51875400543213
34,0.0005133726098825338,0.999,0.9994802494802495,0.9743589743589743,1.0,0.987012987012987,1.0736108456113465,0.9722814498933902,0.7600587371512482,0.5714285714285714,0.5333333333333333,0.986784140969163,0.5517241379310345,7.8125e-07,36.48529314994812
35,0.0023945705714896073,0.999,0.9994802494802495,0.9743589743589743,1.0,0.987012987012987,1.0576165483996678,0.9701492537313433,0.7589574155653451,0.5333333333333333,0.5333333333333333,0.9845814977973568,0.5333333333333333,7.8125e-07,36.40317392349243
36,0.00024185031208565462,0.999,0.9994802494802495,0.9743589743589743,1.0,0.987012987012987,1.07538938948114,0.976545842217484,0.7622613803230543,0.6666666666666666,0.5333333333333333,0.9911894273127754,0.5925925925925926,7.8125e-07,36.51929187774658
37,0.012141438802401079,0.998,0.9863223547434075,0.9736842105263158,0.9736842105263158,0.9736842105263158,1.0723734181790683,0.9744136460554371,0.7611600587371512,0.6153846153846154,0.5333333333333333,0.9889867841409692,0.5714285714285714,3.90625e-07,36.532450914382935
