threshold,accuracy,balanced_accuracy,malignant_precision,sensitivity,specificity,malignant_f1,macro_f1,true_negatives,false_positives,false_negatives,true_positives
0.05,0.9552238805970149,0.7512481644640234,0.36363636363636365,0.5333333333333333,0.9691629955947136,0.43243243243243246,0.7045624981252062,440,14,7,8
0.1,0.9701492537313433,0.7589574155653451,0.5333333333333333,0.5333333333333333,0.9845814977973568,0.5333333333333333,0.7589574155653451,447,7,7,8
0.15000000000000002,0.9722814498933902,0.7600587371512482,0.5714285714285714,0.5333333333333333,0.986784140969163,0.5517241379310345,0.76871135389401,448,6,7,8
0.2,0.9744136460554371,0.7611600587371512,0.6153846153846154,0.5333333333333333,0.9889867841409692,0.5714285714285714,0.7791208791208791,449,5,7,8
0.25,0.976545842217484,0.7622613803230543,0.6666666666666666,0.5333333333333333,0.9911894273127754,0.5925925925925926,0.7902589746717079,450,4,7,8
0.30000000000000004,0.9786780383795309,0.7633627019089574,0.7272727272727273,0.5333333333333333,0.9933920704845814,0.6153846153846154,0.8022098515519569,451,3,7,8
0.35000000000000003,0.9786780383795309,0.7633627019089574,0.7272727272727273,0.5333333333333333,0.9933920704845814,0.6153846153846154,0.8022098515519569,451,3,7,8
0.4,0.9786780383795309,0.7633627019089574,0.7272727272727273,0.5333333333333333,0.9933920704845814,0.6153846153846154,0.8022098515519569,451,3,7,8
0.45,0.9786780383795309,0.7633627019089574,0.7272727272727273,0.5333333333333333,0.9933920704845814,0.6153846153846154,0.8022098515519569,451,3,7,8
0.5,0.9786780383795309,0.7633627019089574,0.7272727272727273,0.5333333333333333,0.9933920704845814,0.6153846153846154,0.8022098515519569,451,3,7,8
0.55,0.9786780383795309,0.7311306901615271,0.7777777777777778,0.4666666666666667,0.9955947136563876,0.5833333333333334,0.7861962071480671,452,2,8,7
0.6000000000000001,0.9786780383795309,0.7311306901615271,0.7777777777777778,0.4666666666666667,0.9955947136563876,0.5833333333333334,0.7861962071480671,452,2,8,7
0.65,0.9786780383795309,0.7311306901615271,0.7777777777777778,0.4666666666666667,0.9955947136563876,0.5833333333333334,0.7861962071480671,452,2,8,7
0.7000000000000001,0.9786780383795309,0.7311306901615271,0.7777777777777778,0.4666666666666667,0.9955947136563876,0.5833333333333334,0.7861962071480671,452,2,8,7
0.75,0.976545842217484,0.6977973568281939,0.75,0.4,0.9955947136563876,0.5217391304347826,0.7548586362556426,452,2,9,6
0.8,0.9786780383795309,0.6988986784140969,0.8571428571428571,0.4,0.9977973568281938,0.5454545454545454,0.7672687574434299,453,1,9,6
0.8500000000000001,0.9786780383795309,0.6988986784140969,0.8571428571428571,0.4,0.9977973568281938,0.5454545454545454,0.7672687574434299,453,1,9,6
0.9,0.976545842217484,0.6655653450807636,0.8333333333333334,0.3333333333333333,0.9977973568281938,0.47619047619047616,0.7320974191203199,453,1,10,5
0.9500000000000001,0.976545842217484,0.6655653450807636,0.8333333333333334,0.3333333333333333,0.9977973568281938,0.47619047619047616,0.7320974191203199,453,1,10,5
