epoch,train_loss,train_accuracy,train_balanced_accuracy,train_malignant_f1,val_loss,val_accuracy,val_balanced_accuracy,val_malignant_precision,val_sensitivity,val_specificity,val_malignant_f1,learning_rate,epoch_time_seconds
1,0.8692266148511772,0.958,0.4979209979209979,0.0,0.6058315607075891,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,24.58825397491455
2,0.7058281150664626,0.963,0.5131578947368421,0.05128205128205128,0.5773076504363684,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,23.402689933776855
3,0.6713614122921961,0.963,0.5257960389539337,0.0975609756097561,0.6458794064036212,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,23.601135969161987
4,1.218338159256088,0.962,0.5,0.0,0.4419008435183765,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,63.71037817001343
5,0.8056780701555468,0.963,0.5131578947368421,0.05128205128205128,0.9497361332224337,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,2.5e-05,63.437880992889404
6,0.6615047543361718,0.965,0.5521118284276179,0.18604651162790697,0.4055333163079538,0.9637526652452025,0.5300293685756241,0.25,0.06666666666666667,0.9933920704845814,0.10526315789473684,2.5e-05,63.481054067611694
7,0.545930151745055,0.966,0.6031841558157347,0.32,0.7336454205459872,0.9701492537313433,0.5655653450807636,0.6666666666666666,0.13333333333333333,0.9977973568281938,0.2222222222222222,2.5e-05,63.62973475456238
8,0.4645110995837423,0.977,0.7226447094868148,0.5964912280701754,0.5265217326489582,0.9658848614072495,0.5633627019089574,0.4,0.13333333333333333,0.9933920704845814,0.2,2.5e-05,63.31064796447754
9,0.4957004207292025,0.974,0.7084473137104716,0.5517241379310345,0.7036687120884986,0.9594882729211087,0.6245227606461087,0.3333333333333333,0.26666666666666666,0.9823788546255506,0.2962962962962963,2.5e-05,63.437658071517944
10,0.33132197435493027,0.977,0.7858354305722727,0.6567164179104478,0.3445970096693193,0.9211087420042644,0.7336270190895742,0.21052631578947367,0.5333333333333333,0.933920704845815,0.3018867924528302,2.5e-05,64.99390888214111
11,0.22191806754259694,0.985,0.8405460115986432,0.7761194029850746,0.6344669372365297,0.9424307036247335,0.6479441997063142,0.22727272727272727,0.3333333333333333,0.9625550660792952,0.2702702702702703,2.5e-05,64.25617909431458
12,0.22579358610093703,0.982,0.8389867600393917,0.7428571428571429,0.5873952236034289,0.9424307036247335,0.7124082232011748,0.2692307692307692,0.4666666666666667,0.9581497797356828,0.34146341463414637,2.5e-05,64.73379588127136
13,0.10834119982069616,0.989,0.8679013021118285,0.835820895522388,0.9962589205227883,0.9701492537313433,0.5977973568281938,0.6,0.2,0.9955947136563876,0.3,2.5e-05,64.34681415557861
14,0.057316518829177036,0.993,0.9331710252762885,0.9041095890410958,1.1389257269171604,0.9637526652452025,0.6267254038179149,0.4,0.26666666666666666,0.986784140969163,0.32,2.5e-05,63.70543599128723
15,0.10699191208185349,0.993,0.9331710252762885,0.9041095890410958,2.0874130589049766,0.8805970149253731,0.6160058737151248,0.09803921568627451,0.3333333333333333,0.8986784140969163,0.15151515151515152,2.5e-05,63.564253091812134
16,0.09440998379267429,0.99,0.9316117737170369,0.868421052631579,1.6738232175201537,0.9594882729211087,0.6245227606461087,0.3333333333333333,0.26666666666666666,0.9823788546255506,0.2962962962962963,1.25e-05,63.43173289299011
17,0.02563311571293043,0.997,0.9731644600065652,0.96,1.6573625065764561,0.9275053304904051,0.6080029368575625,0.14814814814814814,0.26666666666666666,0.9493392070484582,0.19047619047619047,1.25e-05,63.936959981918335
18,0.046644738970271465,0.997,0.985802604223657,0.961038961038961,0.6836369236477741,0.8528784648187633,0.6016886930983847,0.078125,0.3333333333333333,0.8700440528634361,0.12658227848101267,1.25e-05,63.739917039871216
19,0.0004746728360761773,1.0,1.0,1.0,2.006118334895035,0.9594882729211087,0.6245227606461087,0.3333333333333333,0.26666666666666666,0.9823788546255506,0.2962962962962963,1.25e-05,63.744303941726685
20,0.0015026518423982473,0.999,0.9994802494802495,0.987012987012987,0.6912261055866302,0.767590618336887,0.6543318649045522,0.07272727272727272,0.5333333333333333,0.775330396475771,0.128,6.25e-06,64.59695196151733
21,1.6686502870150678e-05,1.0,1.0,1.0,0.9686025884387827,0.7782515991471215,0.595374449339207,0.0594059405940594,0.4,0.7907488986784141,0.10344827586206896,6.25e-06,64.87446880340576
22,3.7265614292431774e-06,1.0,1.0,1.0,1.545160779869317,0.8912579957356077,0.6215124816446402,0.10869565217391304,0.3333333333333333,0.9096916299559471,0.16393442622950818,6.25e-06,64.58767819404602
23,0.02096172143332152,0.999,0.986842105263158,0.9866666666666667,1.6334599340556666,0.8891257995735607,0.6204111600587371,0.10638297872340426,0.3333333333333333,0.9074889867841409,0.16129032258064516,6.25e-06,65.7156138420105
24,2.2393486013644478e-05,1.0,1.0,1.0,1.4116087362827103,0.8294243070362474,0.5895741556534508,0.06666666666666667,0.3333333333333333,0.8458149779735683,0.1111111111111111,3.125e-06,64.5359411239624
