epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,learning_rate,epoch_time_seconds
1,2.1041277952194215,0.358,0.23656007129232925,1.9307862136409735,0.4989339019189765,0.3559059446306241,0.3496198662581916,0.0001,16.628113985061646
2,1.9132273497581482,0.484,0.3696688390495402,1.8747068384308805,0.5501066098081023,0.41716047641491116,0.4045317798209929,0.0001,15.097814798355103
3,1.796564151287079,0.571,0.4433285354570657,1.8493276580310325,0.5031982942430704,0.41313731419733707,0.39199705090114023,0.0001,15.094465970993042
4,1.7943809676170348,0.558,0.4513059374361248,1.891275496371011,0.5415778251599147,0.4212004492557446,0.40442739583880954,2.5e-05,36.8736891746521
5,1.685268094062805,0.591,0.4729778866285176,1.7592033577372017,0.6076759061833689,0.5015746866238641,0.4716957229707831,2.5e-05,36.864317178726196
6,1.5390448064804076,0.676,0.5804691433170521,1.6754702850699679,0.6439232409381663,0.5733746240186144,0.5479052300210803,2.5e-05,36.783766984939575
7,1.4291184227466582,0.734,0.6633277886217056,1.6998902394064963,0.6162046908315565,0.5594382354170276,0.5257421179058115,2.5e-05,36.75022792816162
8,1.3534517469406129,0.75,0.6878271670434495,1.6876626200259113,0.650319829424307,0.564664860852145,0.554716487651246,2.5e-05,36.80106496810913
9,1.28322179043293,0.784,0.7387463988520979,1.6671313243125803,0.650319829424307,0.5816675502561868,0.5599315739352088,2.5e-05,36.816596031188965
10,1.2187370713949204,0.825,0.778033314381794,1.6068186579482642,0.6695095948827292,0.6246077168066513,0.5948986890056034,2.5e-05,36.806658029556274
11,1.1117881710529327,0.85,0.8129105860478436,1.6047670559079916,0.6823027718550106,0.6190110063320795,0.596295599400208,2.5e-05,36.89471507072449
12,1.0950550075769425,0.869,0.8372924150199176,1.5796010354434504,0.7142857142857143,0.6535687678060782,0.6399521603465764,2.5e-05,36.88376331329346
13,1.0552190908193588,0.882,0.8510046350690678,1.5796590751168063,0.7270788912579957,0.6411771849301122,0.6376234184986357,2.5e-05,36.83362293243408
14,1.0114601694345475,0.888,0.8711333032623898,1.668711962984569,0.6801705756929638,0.6425397213652438,0.6144159891982888,2.5e-05,36.82284593582153
15,0.9760571106672287,0.92,0.9000014867938378,1.6079621109118594,0.6886993603411514,0.640262929728564,0.6111189685925495,2.5e-05,36.80308294296265
16,0.9658108874559402,0.908,0.8961654075493458,1.5644692782400005,0.7100213219616205,0.6198169010815373,0.6060182072769036,1.25e-05,36.83176112174988
17,0.9083628754615783,0.945,0.9366601684998423,1.5738768267479024,0.7249466950959488,0.6773466422711198,0.6502735072091397,1.25e-05,36.84642720222473
18,0.8828569196462631,0.96,0.9545816393125394,1.5453589183689436,0.7356076759061834,0.6760958937086652,0.6609162592582618,1.25e-05,36.79285192489624
19,0.8648589644432068,0.951,0.9430725532197106,1.531478929875502,0.7420042643923241,0.6874315242761908,0.6697873453101377,1.25e-05,36.80838990211487
20,0.8764775497913361,0.959,0.9523913259197848,1.5399706650898655,0.7185501066098081,0.6640680227425002,0.6468529698884515,1.25e-05,36.88854622840881
21,0.8627337661981582,0.957,0.9492900033540527,1.5288262557881727,0.746268656716418,0.6879594024865086,0.6751264962242073,1.25e-05,36.84700107574463
22,0.8255612635612488,0.969,0.9682528335565221,1.534546016121724,0.7505330490405118,0.6947202581697781,0.682842828947119,1.25e-05,36.76859998703003
23,0.8429093744754791,0.972,0.9658183088054341,1.5233580913625038,0.7569296375266524,0.6862406717980893,0.6842114040907478,1.25e-05,36.69707989692688
24,0.818722459435463,0.974,0.9720802206802119,1.5533772249465811,0.7270788912579957,0.6555483015467793,0.654476821946396,1.25e-05,36.801846981048584
25,0.8304593350887298,0.972,0.9665520208190725,1.537930370648024,0.7292110874200426,0.6820943885511241,0.668096215617378,1.25e-05,36.818670988082886
26,0.822735544204712,0.972,0.965902579198923,1.5383764871402081,0.7270788912579957,0.6757926384426589,0.6573096277105199,1.25e-05,36.78290677070618
27,0.8225625592470169,0.975,0.9733981677654742,1.5563318838696998,0.7484008528784648,0.6752796008895623,0.6780761260278068,6.25e-06,36.769734144210815
28,0.8192736335992813,0.978,0.9752662102581053,1.523555516179945,0.746268656716418,0.6826917601162377,0.6773940905713061,6.25e-06,36.75548005104065
29,0.8009608650207519,0.985,0.9832830488664999,1.5339377114513535,0.7398720682302772,0.6684229597656798,0.6700319926239378,6.25e-06,36.734055042266846
30,0.7929314107894897,0.986,0.9853269102314565,1.5133965798278353,0.7505330490405118,0.6732127935877716,0.681204456742456,6.25e-06,36.77340602874756
31,0.7977020567655564,0.98,0.977113090190874,1.5417209810285426,0.746268656716418,0.6826264518612741,0.6803816785553429,3.125e-06,36.7879741191864
32,0.7881035672426224,0.983,0.9807080345885861,1.5200407583830453,0.744136460554371,0.6810809870163099,0.681846589578573,3.125e-06,36.807427644729614
33,0.7940734789371491,0.982,0.9804713813053509,1.529873274282606,0.7526652452025586,0.687606732981711,0.6902897951740182,3.125e-06,36.75599193572998
34,0.7757630746364593,0.989,0.9896170309365803,1.513024992525959,0.7526652452025586,0.6822266202114424,0.6866226336932748,3.125e-06,36.78880596160889
35,0.7829713153839112,0.987,0.9866050839625056,1.5002223337128726,0.7526652452025586,0.6818465448939367,0.6877113326867308,3.125e-06,36.77934789657593
36,0.7843054091930389,0.984,0.9805253518742354,1.5079056891296971,0.7526652452025586,0.6925533066157151,0.6892874859205976,3.125e-06,36.78036284446716
37,0.7921122336387634,0.983,0.9815239521013401,1.5334196771894182,0.7484008528784648,0.6836751760329127,0.6818683951515748,1.5625e-06,36.80948185920715
38,0.7758023253679276,0.989,0.9896219139005298,1.5290785608515303,0.7420042643923241,0.677858949248944,0.6746627365511887,1.5625e-06,36.78070783615112
39,0.7834846986532211,0.986,0.9845025992265205,1.5226993037185181,0.744136460554371,0.6761554571533495,0.6765094087462509,1.5625e-06,36.7828209400177
40,0.7900726085901261,0.984,0.9820068550576894,1.539220178305213,0.7334754797441365,0.6662648847627771,0.6656098974136166,1.5625e-06,36.801470041275024
41,0.7850720940828323,0.986,0.9812412964081478,1.5189334054999768,0.746268656716418,0.6823260338884424,0.6816164046077252,7.8125e-07,36.791827917099
42,0.7719452615976333,0.989,0.986943757834974,1.5249317899695847,0.7526652452025586,0.6891442157066242,0.6897118176637577,7.8125e-07,36.808870792388916
43,0.7824911888837814,0.991,0.9912317412803235,1.5332597026438601,0.7484008528784648,0.6868504446628532,0.6861413138934893,7.8125e-07,36.87748098373413
44,0.7812179951667786,0.988,0.988911317744924,1.537756208671944,0.7420042643923241,0.674998049745942,0.6746280889566493,7.8125e-07,36.783599853515625
45,0.7820760694742203,0.988,0.9873565903488363,1.5321140777327613,0.7526652452025586,0.6899017914641999,0.690954879611154,7.8125e-07,36.7623028755188
46,0.7743132942914963,0.989,0.9900624179634919,1.5416086482595024,0.744136460554371,0.6811896702520788,0.6807542487630589,7.8125e-07,36.85306000709534
47,0.7834351069927216,0.987,0.9867217983865388,1.5315447529750084,0.7420042643923241,0.6800533066157151,0.6779719038395015,7.8125e-07,36.93552589416504
48,0.7767603262662888,0.99,0.9913405000828974,1.5284399195774785,0.7398720682302772,0.6789169429793515,0.6767418933589876,7.8125e-07,36.84426283836365
49,0.7808347014188767,0.989,0.9869039422237589,1.5353720920172327,0.7420042643923241,0.6797528886428834,0.6801630809469731,3.90625e-07,36.87618708610535
50,0.7787366949319839,0.984,0.9817176220827568,1.535901630356876,0.7420042643923241,0.6805104644004591,0.6812888434758709,3.90625e-07,36.889846086502075
