experiment,seed,model,input_size,accuracy,balanced_accuracy,malignant_precision,sensitivity,specificity,malignant_f1,macro_f1,negative_predictive_value,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
reference,123,DS2Net + ROI Swin-T + Full-image ResNet18 + Mask Encoder,224,0.9637526652452025,0.7556534508076358,0.4444444444444444,0.5333333333333333,0.9779735682819384,0.48484848484848486,0.7330319772308722,0.9844789356984479,0.8765051395007342,0.45971983793671967,444,10,7,8
reference,2026,DS2Net + ROI Swin-T + Full-image ResNet18 + Mask Encoder,224,0.9744136460554371,0.6966960352422907,0.6666666666666666,0.4,0.9933920704845814,0.5,0.7434354485776805,0.9804347826086957,0.8610866372980911,0.44582037680821107,451,3,9,6
reference,42,DS2Net + ROI Swin-T + Full-image ResNet18 + Mask Encoder,224,0.9786780383795309,0.7633627019089574,0.7272727272727273,0.5333333333333333,0.9933920704845814,0.6153846153846154,0.8022098515519569,0.9847161572052402,0.8688693098384729,0.551019732110265,451,3,7,8
no_augmentation,123,DS2Net + ROI Swin-T + Full-image ResNet18 + Mask Encoder,224,0.976545842217484,0.6655653450807636,0.8333333333333334,0.3333333333333333,0.9977973568281938,0.47619047619047616,0.7320974191203199,0.978401727861771,0.8299559471365638,0.43283792757460715,453,1,10,5
no_augmentation,2026,DS2Net + ROI Swin-T + Full-image ResNet18 + Mask Encoder,224,0.9658848614072495,0.6922907488986785,0.46153846153846156,0.4,0.9845814977973568,0.42857142857142855,0.7054945054945054,0.9802631578947368,0.841409691629956,0.4002770465345896,447,7,9,6
no_augmentation,42,DS2Net + ROI Swin-T + Full-image ResNet18 + Mask Encoder,224,0.976545842217484,0.6333333333333333,1.0,0.26666666666666666,1.0,0.42105263157894735,0.7045415497394193,0.9763440860215054,0.8472834067547724,0.4326456848241905,454,0,11,4
roi_only,123,DS2Net + ROI Swin-T + Full-image ResNet18 + Mask Encoder,224,0.9658848614072495,0.7245227606461087,0.4666666666666667,0.4666666666666667,0.9823788546255506,0.4666666666666667,0.7245227606461087,0.9823788546255506,0.9096916299559471,0.4110368470922136,446,8,8,7
roi_only,2026,DS2Net + ROI Swin-T + Full-image ResNet18 + Mask Encoder,224,0.976545842217484,0.7622613803230543,0.6666666666666666,0.5333333333333333,0.9911894273127754,0.5925925925925926,0.7902589746717079,0.9846827133479212,0.8271659324522761,0.5313242166276081,450,4,7,8
roi_only,42,DS2Net + ROI Swin-T + Full-image ResNet18 + Mask Encoder,224,0.9744136460554371,0.728928046989721,0.6363636363636364,0.4666666666666667,0.9911894273127754,0.5384615384615384,0.7626518218623481,0.982532751091703,0.869309838472834,0.4899597868331602,450,4,8,7
