epoch,train_loss,train_accuracy,train_balanced_accuracy,train_malignant_f1,val_loss,val_accuracy,val_balanced_accuracy,val_malignant_precision,val_sensitivity,val_specificity,val_malignant_f1,learning_rate,epoch_time_seconds
1,0.7953294497082833,0.956,0.4968814968814969,0.0,0.34239397672459737,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,23.998586893081665
2,0.45714906638231334,0.957,0.510039391618339,0.044444444444444446,0.627120069147224,0.9680170575692963,0.5,0.0,0.0,1.0,0.0,0.0001,23.06685185432434
3,0.45581683004570916,0.958,0.5231972863551811,0.08695652173913043,0.25752975427503905,0.9424307036247335,0.5512481644640235,0.125,0.13333333333333333,0.9691629955947136,0.12903225806451613,0.0001,22.765239000320435
4,0.5537822792220047,0.96,0.5242367873946822,0.09090909090909091,0.5481761063102802,0.9701492537313433,0.5333333333333333,1.0,0.06666666666666667,1.0,0.125,2.5e-05,48.52929210662842
5,0.4976238866385878,0.961,0.5626709705657075,0.20408163265306123,0.5186132527654892,0.9637526652452025,0.5300293685756241,0.25,0.06666666666666667,0.9933920704845814,0.10526315789473684,2.5e-05,48.08621692657471
6,0.48313009940687784,0.969,0.6679341284604443,0.45614035087719296,0.46803709649983694,0.9744136460554371,0.6,1.0,0.2,1.0,0.3333333333333333,2.5e-05,48.10472297668457
7,0.2939633647188212,0.976,0.760039391618339,0.625,0.5304885962098413,0.976545842217484,0.7300293685756241,0.7,0.4666666666666667,0.9933920704845814,0.56,2.5e-05,48.191900968551636
8,0.23673456929644596,0.98,0.825309114782799,0.7142857142857143,0.5770229378542663,0.9466950959488273,0.7468428781204112,0.3076923076923077,0.5333333333333333,0.960352422907489,0.3902439024390244,2.5e-05,48.16230225563049
9,0.26263805756400316,0.98,0.8632235474340737,0.7368421052631579,0.9078478921116003,0.9658848614072495,0.6278267254038179,0.4444444444444444,0.26666666666666666,0.9889867841409692,0.3333333333333333,2.5e-05,48.07981014251709
10,0.18183192314866864,0.988,0.8800196958091695,0.8285714285714286,0.6697799393737179,0.929637526652452,0.7380323054331865,0.23529411764705882,0.5333333333333333,0.9427312775330396,0.32653061224489793,2.5e-05,48.01053810119629
11,0.18894416069053743,0.991,0.944769668453879,0.8831168831168831,1.1675336885388008,0.9744136460554371,0.6966960352422907,0.6666666666666666,0.4,0.9933920704845814,0.5,1.25e-05,48.09496712684631
12,0.0897808430673775,0.997,0.9731644600065652,0.96,1.1845501794112314,0.9680170575692963,0.6933920704845815,0.5,0.4,0.986784140969163,0.4444444444444444,1.25e-05,49.17794871330261
13,0.0007526845039387319,0.999,0.9994802494802495,0.987012987012987,1.2175458977697695,0.9701492537313433,0.6622613803230544,0.5555555555555556,0.3333333333333333,0.9911894273127754,0.4166666666666667,1.25e-05,48.76772403717041
14,0.031153903114902407,0.998,0.9863223547434075,0.9736842105263158,1.3008618711956093,0.9722814498933902,0.6311306901615271,0.6666666666666666,0.26666666666666666,0.9955947136563876,0.38095238095238093,1.25e-05,47.76467514038086
15,0.08019444373255132,0.997,0.9731644600065652,0.96,1.1085421053114282,0.9658848614072495,0.6278267254038179,0.4444444444444444,0.26666666666666666,0.9889867841409692,0.3333333333333333,6.25e-06,48.05850100517273
16,0.07684896208263275,0.998,0.9736842105263157,0.972972972972973,1.376208381727255,0.9744136460554371,0.6322320117474303,0.8,0.26666666666666666,0.9977973568281938,0.4,6.25e-06,48.04547190666199
17,0.033507440216422636,0.998,0.9736842105263157,0.972972972972973,0.769449422337334,0.9722814498933902,0.727826725403818,0.5833333333333334,0.4666666666666667,0.9889867841409692,0.5185185185185185,6.25e-06,48.083783864974976
18,0.03080636277889321,0.998,0.9736842105263157,0.972972972972973,0.8556572903425294,0.9701492537313433,0.7267254038179148,0.5384615384615384,0.4666666666666667,0.986784140969163,0.5,6.25e-06,48.121113777160645
19,0.0004614985795542637,0.999,0.9994802494802495,0.987012987012987,1.2013064851440267,0.976545842217484,0.6977973568281939,0.75,0.4,0.9955947136563876,0.5217391304347826,3.125e-06,48.16599774360657
