Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,82.20%,88.18%,94.15%,85.09%,13/110
1-SC,66,65.48%,83.33%,92.80%,73.33%,11/66
2-T,108,87.00%,80.56%,96.40%,83.65%,21/108
3-TCT,31,75.00%,58.06%,98.63%,65.45%,13/31
4-SCH,19,81.82%,47.37%,99.56%,60.00%,10/19
5-NO,87,77.66%,83.91%,94.50%,80.66%,14/87
6-MC,33,59.26%,48.48%,97.48%,53.33%,17/33
7-HGSC,15,90.91%,66.67%,99.78%,76.92%,5/15
Macro Average,469,77.42%,69.57%,96.66%,72.31%,104/469
