Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,78.05%,87.27%,92.48%,82.40%,14/110
1-SC,66,68.06%,74.24%,94.29%,71.01%,17/66
2-T,108,80.36%,83.33%,93.91%,81.82%,18/108
3-TCT,31,77.27%,54.84%,98.86%,64.15%,14/31
4-SCH,19,61.54%,42.11%,98.89%,50.00%,11/19
5-NO,87,74.42%,73.56%,94.24%,73.99%,23/87
6-MC,33,63.33%,57.58%,97.48%,60.32%,14/33
7-HGSC,15,63.64%,46.67%,99.12%,53.85%,8/15
Macro Average,469,70.83%,64.95%,96.16%,67.19%,119/469
