Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,70.73%,79.09%,89.97%,74.68%,23/110
1-SC,66,53.26%,74.24%,89.33%,62.03%,17/66
2-T,108,74.34%,77.78%,91.97%,76.02%,24/108
3-TCT,31,66.67%,32.26%,98.86%,43.48%,21/31
4-SCH,19,50.00%,26.32%,98.89%,34.48%,14/19
5-NO,87,73.33%,63.22%,94.76%,67.90%,32/87
6-MC,33,56.00%,42.42%,97.48%,48.28%,19/33
7-HGSC,15,50.00%,53.33%,98.24%,51.61%,7/15
Macro Average,469,61.79%,56.08%,94.94%,57.31%,157/469
