Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,80.87%,84.55%,93.87%,82.67%,17/110
1-SC,66,67.95%,80.30%,93.80%,73.61%,13/66
2-T,108,80.36%,83.33%,93.91%,81.82%,18/108
3-TCT,31,82.35%,45.16%,99.32%,58.33%,17/31
4-SCH,19,62.50%,52.63%,98.67%,57.14%,9/19
5-NO,87,77.17%,81.61%,94.50%,79.33%,16/87
6-MC,33,62.07%,54.55%,97.48%,58.06%,15/33
7-HGSC,15,90.00%,60.00%,99.78%,72.00%,6/15
Macro Average,469,75.41%,67.77%,96.41%,70.37%,111/469
