Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,83.76%,89.09%,94.71%,86.34%,12/110
1-SC,66,56.04%,77.27%,90.07%,64.97%,15/66
2-T,108,93.26%,76.85%,98.34%,84.26%,25/108
3-TCT,31,80.00%,64.52%,98.86%,71.43%,11/31
4-SCH,19,66.67%,42.11%,99.11%,51.61%,11/19
5-NO,87,82.95%,83.91%,96.07%,83.43%,14/87
6-MC,33,56.25%,54.55%,96.79%,55.38%,15/33
7-HGSC,15,66.67%,66.67%,98.90%,66.67%,5/15
Macro Average,469,73.20%,69.37%,96.61%,70.51%,108/469
