Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,80.67%,87.27%,93.59%,83.84%,14/110
1-SC,66,59.74%,69.70%,92.31%,64.34%,20/66
2-T,108,81.13%,79.63%,94.46%,80.37%,22/108
3-TCT,31,83.33%,48.39%,99.32%,61.22%,16/31
4-SCH,19,58.33%,36.84%,98.89%,45.16%,12/19
5-NO,87,74.23%,82.76%,93.46%,78.26%,15/87
6-MC,33,51.61%,48.48%,96.56%,50.00%,17/33
7-HGSC,15,77.78%,46.67%,99.56%,58.33%,8/15
Macro Average,469,70.85%,62.47%,96.02%,65.19%,124/469
