Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,77.55%,69.09%,93.87%,73.08%,34/110
1-SC,66,59.49%,71.21%,92.06%,64.83%,19/66
2-T,108,74.56%,78.70%,91.97%,76.58%,23/108
3-TCT,31,60.87%,45.16%,97.95%,51.85%,17/31
4-SCH,19,46.15%,31.58%,98.44%,37.50%,13/19
5-NO,87,58.76%,65.52%,89.53%,61.96%,30/87
6-MC,33,48.48%,48.48%,96.10%,48.48%,17/33
7-HGSC,15,33.33%,26.67%,98.24%,29.63%,11/15
Macro Average,469,57.40%,54.55%,94.77%,55.49%,164/469
