Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,82.64%,90.91%,94.15%,86.58%,10/110
1-SC,66,61.45%,77.27%,92.06%,68.46%,15/66
2-T,108,85.58%,82.41%,95.84%,83.96%,19/108
3-TCT,31,76.00%,61.29%,98.63%,67.86%,12/31
4-SCH,19,91.67%,57.89%,99.78%,70.97%,8/19
5-NO,87,80.95%,78.16%,95.81%,79.53%,19/87
6-MC,33,56.67%,51.52%,97.02%,53.97%,16/33
7-HGSC,15,100.00%,66.67%,100.00%,80.00%,5/15
Macro Average,469,79.37%,70.76%,96.66%,73.92%,104/469
