Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,86.73%,89.09%,95.82%,87.89%,12/110
1-SC,66,68.57%,72.73%,94.54%,70.59%,18/66
2-T,108,87.62%,85.19%,96.40%,86.38%,16/108
3-TCT,31,79.17%,61.29%,98.86%,69.09%,12/31
4-SCH,19,86.67%,68.42%,99.56%,76.47%,6/19
5-NO,87,77.32%,86.21%,94.24%,81.52%,12/87
6-MC,33,65.71%,69.70%,97.25%,67.65%,10/33
7-HGSC,15,90.00%,60.00%,99.78%,72.00%,6/15
Macro Average,469,80.22%,74.08%,97.06%,76.45%,92/469
