Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,84.75%,90.91%,94.99%,87.72%,10/110
1-SC,66,69.23%,81.82%,94.04%,75.00%,12/66
2-T,108,88.46%,85.19%,96.68%,86.79%,16/108
3-TCT,31,75.00%,58.06%,98.63%,65.45%,13/31
4-SCH,19,68.75%,57.89%,98.89%,62.86%,8/19
5-NO,87,79.78%,81.61%,95.29%,80.68%,16/87
6-MC,33,62.07%,54.55%,97.48%,58.06%,15/33
7-HGSC,15,81.82%,60.00%,99.56%,69.23%,6/15
Macro Average,469,76.23%,71.25%,96.94%,73.23%,96/469
