Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,82.88%,83.64%,94.71%,83.26%,18/110
1-SC,66,64.94%,75.76%,93.30%,69.93%,16/66
2-T,108,90.62%,80.56%,97.51%,85.29%,21/108
3-TCT,31,70.59%,38.71%,98.86%,50.00%,19/31
4-SCH,19,50.00%,63.16%,97.33%,55.81%,7/19
5-NO,87,78.72%,85.06%,94.76%,81.77%,13/87
6-MC,33,62.07%,54.55%,97.48%,58.06%,15/33
7-HGSC,15,42.86%,60.00%,97.36%,50.00%,6/15
Macro Average,469,67.84%,67.68%,96.41%,66.77%,115/469
