Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,84.17%,91.82%,94.71%,87.83%,9/110
1-SC,66,65.06%,81.82%,92.80%,72.48%,12/66
2-T,108,90.20%,85.19%,97.23%,87.62%,16/108
3-TCT,31,78.26%,58.06%,98.86%,66.67%,13/31
4-SCH,19,70.59%,63.16%,98.89%,66.67%,7/19
5-NO,87,75.28%,77.01%,94.24%,76.14%,20/87
6-MC,33,74.07%,60.61%,98.39%,66.67%,13/33
7-HGSC,15,100.00%,53.33%,100.00%,69.57%,7/15
Macro Average,469,79.70%,71.37%,96.89%,74.20%,97/469
