Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,82.73%,82.73%,94.71%,82.73%,19/110
1-SC,66,64.38%,71.21%,93.55%,67.63%,19/66
2-T,108,81.74%,87.04%,94.18%,84.30%,14/108
3-TCT,31,77.27%,54.84%,98.86%,64.15%,14/31
4-SCH,19,50.00%,47.37%,98.00%,48.65%,10/19
5-NO,87,73.68%,80.46%,93.46%,76.92%,17/87
6-MC,33,56.52%,39.39%,97.71%,46.43%,20/33
7-HGSC,15,53.85%,46.67%,98.68%,50.00%,8/15
Macro Average,469,67.52%,63.71%,96.14%,65.10%,121/469
