Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,86.49%,87.27%,95.82%,86.88%,14/110
1-SC,66,68.00%,77.27%,94.04%,72.34%,15/66
2-T,108,89.22%,84.26%,96.95%,86.67%,17/108
3-TCT,31,74.07%,64.52%,98.40%,68.97%,11/31
4-SCH,19,75.00%,63.16%,99.11%,68.57%,7/19
5-NO,87,73.47%,82.76%,93.19%,77.84%,15/87
6-MC,33,73.33%,66.67%,98.17%,69.84%,11/33
7-HGSC,15,100.00%,66.67%,100.00%,80.00%,5/15
Macro Average,469,79.95%,74.07%,96.96%,76.39%,95/469
