Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,84.87%,91.82%,94.99%,88.21%,9/110
1-SC,66,71.43%,83.33%,94.54%,76.92%,11/66
2-T,108,89.52%,87.04%,96.95%,88.26%,14/108
3-TCT,31,85.71%,58.06%,99.32%,69.23%,13/31
4-SCH,19,61.11%,57.89%,98.44%,59.46%,8/19
5-NO,87,73.96%,81.61%,93.46%,77.60%,16/87
6-MC,33,78.26%,54.55%,98.85%,64.29%,15/33
7-HGSC,15,80.00%,53.33%,99.56%,64.00%,7/15
Macro Average,469,78.11%,70.95%,97.01%,73.50%,93/469
