Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,77.78%,89.09%,92.20%,83.05%,12/110
1-SC,66,65.79%,75.76%,93.55%,70.42%,16/66
2-T,108,83.65%,80.56%,95.29%,82.08%,21/108
3-TCT,31,77.78%,45.16%,99.09%,57.14%,17/31
4-SCH,19,61.54%,42.11%,98.89%,50.00%,11/19
5-NO,87,76.34%,81.61%,94.24%,78.89%,16/87
6-MC,33,51.61%,48.48%,96.56%,50.00%,17/33
7-HGSC,15,87.50%,46.67%,99.78%,60.87%,8/15
Macro Average,469,72.75%,63.68%,96.20%,66.56%,118/469
