Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,86.92%,84.55%,96.10%,85.71%,17/110
1-SC,66,69.88%,87.88%,93.80%,77.85%,8/66
2-T,108,92.16%,87.04%,97.78%,89.52%,14/108
3-TCT,31,72.41%,67.74%,98.17%,70.00%,10/31
4-SCH,19,90.00%,47.37%,99.78%,62.07%,10/19
5-NO,87,81.52%,86.21%,95.55%,83.80%,12/87
6-MC,33,68.97%,60.61%,97.94%,64.52%,13/33
7-HGSC,15,70.59%,80.00%,98.90%,75.00%,3/15
Macro Average,469,79.06%,75.17%,97.25%,76.06%,87/469
