Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,84.75%,90.91%,94.99%,87.72%,10/110
1-SC,66,62.65%,78.79%,92.31%,69.80%,14/66
2-T,108,88.66%,79.63%,96.95%,83.90%,22/108
3-TCT,31,72.00%,58.06%,98.40%,64.29%,13/31
4-SCH,19,69.23%,47.37%,99.11%,56.25%,10/19
5-NO,87,78.72%,85.06%,94.76%,81.77%,13/87
6-MC,33,58.62%,51.52%,97.25%,54.84%,16/33
7-HGSC,15,100.00%,66.67%,100.00%,80.00%,5/15
Macro Average,469,76.83%,69.75%,96.72%,72.32%,103/469
