Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,84.30%,92.73%,94.71%,88.31%,8/110
1-SC,66,67.50%,81.82%,93.55%,73.97%,12/66
2-T,108,89.62%,87.96%,96.95%,88.79%,13/108
3-TCT,31,84.00%,67.74%,99.09%,75.00%,10/31
4-SCH,19,84.62%,57.89%,99.56%,68.75%,8/19
5-NO,87,82.95%,83.91%,96.07%,83.43%,14/87
6-MC,33,80.77%,63.64%,98.85%,71.19%,12/33
7-HGSC,15,90.00%,60.00%,99.78%,72.00%,6/15
Macro Average,469,82.97%,74.46%,97.32%,77.68%,83/469
