Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,82.11%,91.82%,93.87%,86.70%,9/110
1-SC,66,65.00%,78.79%,93.05%,71.23%,14/66
2-T,108,89.00%,82.41%,96.95%,85.58%,19/108
3-TCT,31,69.57%,51.61%,98.40%,59.26%,15/31
4-SCH,19,75.00%,47.37%,99.33%,58.06%,10/19
5-NO,87,76.67%,79.31%,94.50%,77.97%,18/87
6-MC,33,60.00%,54.55%,97.25%,57.14%,15/33
7-HGSC,15,90.91%,66.67%,99.78%,76.92%,5/15
Macro Average,469,76.03%,69.06%,96.64%,71.61%,105/469
