Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,85.71%,87.27%,95.54%,86.49%,14/110
1-SC,66,67.12%,74.24%,94.04%,70.50%,17/66
2-T,108,90.48%,87.96%,97.23%,89.20%,13/108
3-TCT,31,84.00%,67.74%,99.09%,75.00%,10/31
4-SCH,19,80.00%,63.16%,99.33%,70.59%,7/19
5-NO,87,78.72%,85.06%,94.76%,81.77%,13/87
6-MC,33,67.65%,69.70%,97.48%,68.66%,10/33
7-HGSC,15,90.91%,66.67%,99.78%,76.92%,5/15
Macro Average,469,80.57%,75.22%,97.16%,77.39%,89/469
