Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,82.86%,79.09%,94.99%,80.93%,23/110
1-SC,66,68.42%,59.09%,95.53%,63.41%,27/66
2-T,108,83.18%,82.41%,95.01%,82.79%,19/108
3-TCT,31,64.52%,64.52%,97.49%,64.52%,11/31
4-SCH,19,42.86%,47.37%,97.33%,45.00%,10/19
5-NO,87,73.63%,77.01%,93.72%,75.28%,20/87
6-MC,33,39.02%,48.48%,94.27%,43.24%,17/33
7-HGSC,15,50.00%,53.33%,98.24%,51.61%,7/15
Macro Average,469,63.06%,63.91%,95.82%,63.35%,134/469
