Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,85.71%,92.73%,95.26%,89.08%,8/110
1-SC,66,66.67%,84.85%,93.05%,74.67%,10/66
2-T,108,86.92%,86.11%,96.12%,86.51%,15/108
3-TCT,31,84.00%,67.74%,99.09%,75.00%,10/31
4-SCH,19,78.57%,57.89%,99.33%,66.67%,8/19
5-NO,87,84.52%,81.61%,96.60%,83.04%,16/87
6-MC,33,80.00%,60.61%,98.85%,68.97%,13/33
7-HGSC,15,90.91%,66.67%,99.78%,76.92%,5/15
Macro Average,469,82.16%,74.78%,97.26%,77.61%,85/469
