Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,72.57%,74.55%,91.36%,73.54%,28/110
1-SC,66,55.95%,71.21%,90.82%,62.67%,19/66
2-T,108,78.18%,79.63%,93.35%,78.90%,22/108
3-TCT,31,66.67%,45.16%,98.40%,53.85%,17/31
4-SCH,19,58.33%,36.84%,98.89%,45.16%,12/19
5-NO,87,75.00%,75.86%,94.24%,75.43%,21/87
6-MC,33,46.67%,42.42%,96.33%,44.44%,19/33
7-HGSC,15,45.45%,33.33%,98.68%,38.46%,10/15
Macro Average,469,62.35%,57.38%,95.26%,59.06%,148/469
