Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,81.45%,91.82%,93.59%,86.32%,9/110
1-SC,66,67.90%,83.33%,93.55%,74.83%,11/66
2-T,108,87.00%,80.56%,96.40%,83.65%,21/108
3-TCT,31,78.26%,58.06%,98.86%,66.67%,13/31
4-SCH,19,81.82%,47.37%,99.56%,60.00%,10/19
5-NO,87,80.72%,77.01%,95.81%,78.82%,20/87
6-MC,33,52.94%,54.55%,96.33%,53.73%,15/33
7-HGSC,15,69.23%,60.00%,99.12%,64.29%,6/15
Macro Average,469,74.92%,69.09%,96.65%,71.04%,105/469
