Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,84.48%,89.09%,94.99%,86.73%,12/110
1-SC,66,68.00%,77.27%,94.04%,72.34%,15/66
2-T,108,87.62%,85.19%,96.40%,86.38%,16/108
3-TCT,31,77.78%,67.74%,98.63%,72.41%,10/31
4-SCH,19,92.31%,63.16%,99.78%,75.00%,7/19
5-NO,87,78.26%,82.76%,94.76%,80.45%,15/87
6-MC,33,67.74%,63.64%,97.71%,65.62%,12/33
7-HGSC,15,100.00%,66.67%,100.00%,80.00%,5/15
Macro Average,469,82.02%,74.44%,97.04%,77.37%,92/469
