Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,76.23%,84.55%,91.92%,80.17%,17/110
1-SC,66,58.89%,80.30%,90.82%,67.95%,13/66
2-T,108,89.11%,83.33%,96.95%,86.12%,18/108
3-TCT,31,73.33%,35.48%,99.09%,47.83%,20/31
4-SCH,19,50.00%,36.84%,98.44%,42.42%,12/19
5-NO,87,71.72%,81.61%,92.67%,76.34%,16/87
6-MC,33,61.90%,39.39%,98.17%,48.15%,20/33
7-HGSC,15,85.71%,40.00%,99.78%,54.55%,9/15
Macro Average,469,70.86%,60.19%,95.98%,62.94%,125/469
