Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,87.16%,86.36%,96.10%,86.76%,15/110
1-SC,66,63.74%,87.88%,91.81%,73.89%,8/66
2-T,108,87.74%,86.11%,96.40%,86.92%,15/108
3-TCT,31,77.78%,67.74%,98.63%,72.41%,10/31
4-SCH,19,76.92%,52.63%,99.33%,62.50%,9/19
5-NO,87,80.00%,82.76%,95.29%,81.36%,15/87
6-MC,33,64.00%,48.48%,97.94%,55.17%,17/33
7-HGSC,15,87.50%,46.67%,99.78%,60.87%,8/15
Macro Average,469,78.10%,69.83%,96.91%,72.48%,97/469
