Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,82.91%,88.18%,94.43%,85.46%,13/110
1-SC,66,66.67%,75.76%,93.80%,70.92%,16/66
2-T,108,87.25%,82.41%,96.40%,84.76%,19/108
3-TCT,31,81.82%,58.06%,99.09%,67.92%,13/31
4-SCH,19,76.92%,52.63%,99.33%,62.50%,9/19
5-NO,87,73.20%,81.61%,93.19%,77.17%,16/87
6-MC,33,64.52%,60.61%,97.48%,62.50%,13/33
7-HGSC,15,75.00%,60.00%,99.34%,66.67%,6/15
Macro Average,469,76.04%,69.91%,96.63%,72.24%,105/469
