Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,79.67%,89.09%,93.04%,84.12%,12/110
1-SC,66,60.26%,71.21%,92.31%,65.28%,19/66
2-T,108,87.38%,83.33%,96.40%,85.31%,18/108
3-TCT,31,70.00%,45.16%,98.63%,54.90%,17/31
4-SCH,19,63.64%,36.84%,99.11%,46.67%,12/19
5-NO,87,77.65%,75.86%,95.03%,76.74%,21/87
6-MC,33,54.29%,57.58%,96.33%,55.88%,14/33
7-HGSC,15,50.00%,46.67%,98.46%,48.28%,8/15
Macro Average,469,67.86%,63.22%,96.16%,64.65%,121/469
