Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,84.11%,81.82%,95.26%,82.95%,20/110
1-SC,66,62.07%,81.82%,91.81%,70.59%,12/66
2-T,108,84.85%,77.78%,95.84%,81.16%,24/108
3-TCT,31,80.00%,38.71%,99.32%,52.17%,19/31
4-SCH,19,64.29%,47.37%,98.89%,54.55%,10/19
5-NO,87,68.22%,83.91%,91.10%,75.26%,14/87
6-MC,33,68.97%,60.61%,97.94%,64.52%,13/33
7-HGSC,15,63.64%,46.67%,99.12%,53.85%,8/15
Macro Average,469,72.02%,64.83%,96.16%,66.88%,120/469
