Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,68.97%,90.91%,87.47%,78.43%,10/110
1-SC,66,63.49%,60.61%,94.29%,62.02%,26/66
2-T,108,88.12%,82.41%,96.68%,85.17%,19/108
3-TCT,31,66.67%,38.71%,98.63%,48.98%,19/31
4-SCH,19,66.67%,52.63%,98.89%,58.82%,9/19
5-NO,87,72.04%,77.01%,93.19%,74.44%,20/87
6-MC,33,56.52%,39.39%,97.71%,46.43%,20/33
7-HGSC,15,81.82%,60.00%,99.56%,69.23%,6/15
Macro Average,469,70.54%,62.71%,95.80%,65.44%,129/469
