Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,84.48%,89.09%,94.99%,86.73%,12/110
1-SC,66,63.22%,83.33%,92.06%,71.90%,11/66
2-T,108,88.12%,82.41%,96.68%,85.17%,19/108
3-TCT,31,73.08%,61.29%,98.40%,66.67%,12/31
4-SCH,19,64.29%,47.37%,98.89%,54.55%,10/19
5-NO,87,75.56%,78.16%,94.24%,76.84%,19/87
6-MC,33,61.54%,48.48%,97.71%,54.24%,17/33
7-HGSC,15,88.89%,53.33%,99.78%,66.67%,7/15
Macro Average,469,74.90%,67.93%,96.59%,70.34%,107/469
