Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,78.05%,87.27%,92.48%,82.40%,14/110
1-SC,66,64.47%,74.24%,93.30%,69.01%,17/66
2-T,108,81.65%,82.41%,94.46%,82.03%,19/108
3-TCT,31,77.78%,45.16%,99.09%,57.14%,17/31
4-SCH,19,53.85%,36.84%,98.67%,43.75%,12/19
5-NO,87,79.78%,81.61%,95.29%,80.68%,16/87
6-MC,33,50.00%,51.52%,96.10%,50.75%,16/33
7-HGSC,15,85.71%,40.00%,99.78%,54.55%,9/15
Macro Average,469,71.41%,62.38%,96.15%,65.04%,120/469
