Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,87.16%,86.36%,96.10%,86.76%,15/110
1-SC,66,68.35%,81.82%,93.80%,74.48%,12/66
2-T,108,89.22%,84.26%,96.95%,86.67%,17/108
3-TCT,31,75.00%,67.74%,98.40%,71.19%,10/31
4-SCH,19,73.33%,57.89%,99.11%,64.71%,8/19
5-NO,87,79.57%,85.06%,95.03%,82.22%,13/87
6-MC,33,67.74%,63.64%,97.71%,65.62%,12/33
7-HGSC,15,83.33%,66.67%,99.56%,74.07%,5/15
Macro Average,469,77.96%,74.18%,97.08%,75.72%,92/469
