Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,87.27%,87.27%,96.10%,87.27%,14/110
1-SC,66,73.13%,74.24%,95.53%,73.68%,17/66
2-T,108,87.38%,83.33%,96.40%,85.31%,18/108
3-TCT,31,75.00%,67.74%,98.40%,71.19%,10/31
4-SCH,19,72.22%,68.42%,98.89%,70.27%,6/19
5-NO,87,75.00%,82.76%,93.72%,78.69%,15/87
6-MC,33,66.67%,60.61%,97.71%,63.49%,13/33
7-HGSC,15,58.82%,66.67%,98.46%,62.50%,5/15
Macro Average,469,74.44%,73.88%,96.90%,74.05%,98/469
