Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,78.45%,82.73%,93.04%,80.53%,19/110
1-SC,66,60.27%,66.67%,92.80%,63.31%,22/66
2-T,108,85.58%,82.41%,95.84%,83.96%,19/108
3-TCT,31,63.33%,61.29%,97.49%,62.30%,12/31
4-SCH,19,45.00%,47.37%,97.56%,46.15%,10/19
5-NO,87,75.58%,74.71%,94.50%,75.14%,22/87
6-MC,33,55.56%,45.45%,97.25%,50.00%,18/33
7-HGSC,15,61.54%,53.33%,98.90%,57.14%,7/15
Macro Average,469,65.66%,64.25%,95.92%,64.82%,129/469
