Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,83.47%,91.82%,94.43%,87.45%,9/110
1-SC,66,73.91%,77.27%,95.53%,75.56%,15/66
2-T,108,94.95%,87.04%,98.61%,90.82%,14/108
3-TCT,31,83.33%,64.52%,99.09%,72.73%,11/31
4-SCH,19,75.00%,63.16%,99.11%,68.57%,7/19
5-NO,87,77.08%,85.06%,94.24%,80.87%,13/87
6-MC,33,72.73%,72.73%,97.94%,72.73%,9/33
7-HGSC,15,90.91%,66.67%,99.78%,76.92%,5/15
Macro Average,469,81.42%,76.03%,97.34%,78.21%,83/469
