Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,84.21%,87.27%,94.99%,85.71%,14/110
1-SC,66,70.51%,83.33%,94.29%,76.39%,11/66
2-T,108,90.29%,86.11%,97.23%,88.15%,15/108
3-TCT,31,76.00%,61.29%,98.63%,67.86%,12/31
4-SCH,19,73.33%,57.89%,99.11%,64.71%,8/19
5-NO,87,78.89%,81.61%,95.03%,80.23%,16/87
6-MC,33,70.00%,63.64%,97.94%,66.67%,12/33
7-HGSC,15,71.43%,66.67%,99.12%,68.97%,5/15
Macro Average,469,76.83%,73.48%,97.04%,74.83%,93/469
