Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,79.13%,82.73%,93.31%,80.89%,19/110
1-SC,66,61.43%,65.15%,93.30%,63.24%,23/66
2-T,108,83.18%,82.41%,95.01%,82.79%,19/108
3-TCT,31,68.42%,41.94%,98.63%,52.00%,18/31
4-SCH,19,42.86%,31.58%,98.22%,36.36%,13/19
5-NO,87,77.27%,78.16%,94.76%,77.71%,19/87
6-MC,33,34.00%,51.52%,92.43%,40.96%,16/33
7-HGSC,15,50.00%,20.00%,99.34%,28.57%,12/15
Macro Average,469,62.04%,56.68%,95.63%,57.82%,139/469
