Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,86.73%,89.09%,95.82%,87.89%,12/110
1-SC,66,68.83%,80.30%,94.04%,74.13%,13/66
2-T,108,89.42%,86.11%,96.95%,87.74%,15/108
3-TCT,31,86.96%,64.52%,99.32%,74.07%,11/31
4-SCH,19,66.67%,63.16%,98.67%,64.86%,7/19
5-NO,87,78.72%,85.06%,94.76%,81.77%,13/87
6-MC,33,76.67%,69.70%,98.39%,73.02%,10/33
7-HGSC,15,90.00%,60.00%,99.78%,72.00%,6/15
Macro Average,469,80.50%,74.74%,97.22%,76.93%,87/469
