Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,77.59%,81.82%,92.76%,79.65%,20/110
1-SC,66,68.25%,65.15%,95.04%,66.67%,23/66
2-T,108,71.03%,70.37%,91.41%,70.70%,32/108
3-TCT,31,53.33%,51.61%,96.80%,52.46%,15/31
4-SCH,19,60.00%,31.58%,99.11%,41.38%,13/19
5-NO,87,62.50%,74.71%,89.79%,68.06%,22/87
6-MC,33,68.97%,60.61%,97.94%,64.52%,13/33
7-HGSC,15,60.00%,40.00%,99.12%,48.00%,9/15
Macro Average,469,65.21%,59.48%,95.25%,61.43%,147/469
