Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,80.00%,87.27%,93.31%,83.48%,14/110
1-SC,66,65.00%,78.79%,93.05%,71.23%,14/66
2-T,108,82.41%,82.41%,94.74%,82.41%,19/108
3-TCT,31,86.67%,41.94%,99.54%,56.52%,18/31
4-SCH,19,53.85%,36.84%,98.67%,43.75%,12/19
5-NO,87,78.26%,82.76%,94.76%,80.45%,15/87
6-MC,33,45.71%,48.48%,95.64%,47.06%,17/33
7-HGSC,15,83.33%,33.33%,99.78%,47.62%,10/15
Macro Average,469,71.90%,61.48%,96.19%,64.06%,119/469
