Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,82.05%,87.27%,94.15%,84.58%,14/110
1-SC,66,69.33%,78.79%,94.29%,73.76%,14/66
2-T,108,88.24%,83.33%,96.68%,85.71%,18/108
3-TCT,31,76.92%,64.52%,98.63%,70.18%,11/31
4-SCH,19,76.92%,52.63%,99.33%,62.50%,9/19
5-NO,87,74.23%,82.76%,93.46%,78.26%,15/87
6-MC,33,72.00%,54.55%,98.39%,62.07%,15/33
7-HGSC,15,71.43%,66.67%,99.12%,68.97%,5/15
Macro Average,469,76.39%,71.31%,96.76%,73.25%,101/469
