Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,85.19%,83.64%,95.54%,84.40%,18/110
1-SC,66,65.85%,81.82%,93.05%,72.97%,12/66
2-T,108,91.84%,83.33%,97.78%,87.38%,18/108
3-TCT,31,84.21%,51.61%,99.32%,64.00%,15/31
4-SCH,19,66.67%,63.16%,98.67%,64.86%,7/19
5-NO,87,75.25%,87.36%,93.46%,80.85%,11/87
6-MC,33,66.67%,66.67%,97.48%,66.67%,11/33
7-HGSC,15,80.00%,53.33%,99.56%,64.00%,7/15
Macro Average,469,76.96%,71.36%,96.86%,73.14%,99/469
