Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,82.50%,90.00%,94.15%,86.09%,11/110
1-SC,66,65.79%,75.76%,93.55%,70.42%,16/66
2-T,108,90.82%,82.41%,97.51%,86.41%,19/108
3-TCT,31,78.26%,58.06%,98.86%,66.67%,13/31
4-SCH,19,71.43%,52.63%,99.11%,60.61%,9/19
5-NO,87,75.26%,83.91%,93.72%,79.35%,14/87
6-MC,33,64.52%,60.61%,97.48%,62.50%,13/33
7-HGSC,15,90.00%,60.00%,99.78%,72.00%,6/15
Macro Average,469,77.32%,70.42%,96.77%,73.00%,101/469
