Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,87.61%,90.00%,96.10%,88.79%,11/110
1-SC,66,60.87%,84.85%,91.07%,70.89%,10/66
2-T,108,93.14%,87.96%,98.06%,90.48%,13/108
3-TCT,31,83.33%,64.52%,99.09%,72.73%,11/31
4-SCH,19,80.00%,63.16%,99.33%,70.59%,7/19
5-NO,87,82.02%,83.91%,95.81%,82.95%,14/87
6-MC,33,86.96%,60.61%,99.31%,71.43%,13/33
7-HGSC,15,90.91%,66.67%,99.78%,76.92%,5/15
Macro Average,469,83.10%,75.21%,97.32%,78.10%,84/469
