Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,82.64%,90.91%,94.15%,86.58%,10/110
1-SC,66,64.86%,72.73%,93.55%,68.57%,18/66
2-T,108,88.00%,81.48%,96.68%,84.62%,20/108
3-TCT,31,73.91%,54.84%,98.63%,62.96%,14/31
4-SCH,19,66.67%,52.63%,98.89%,58.82%,9/19
5-NO,87,77.53%,79.31%,94.76%,78.41%,18/87
6-MC,33,61.29%,57.58%,97.25%,59.38%,14/33
7-HGSC,15,68.75%,73.33%,98.90%,70.97%,4/15
Macro Average,469,72.96%,70.35%,96.60%,71.29%,107/469
