Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,83.93%,85.45%,94.99%,84.68%,16/110
1-SC,66,67.47%,84.85%,93.30%,75.17%,10/66
2-T,108,86.41%,82.41%,96.12%,84.36%,19/108
3-TCT,31,84.21%,51.61%,99.32%,64.00%,15/31
4-SCH,19,66.67%,52.63%,98.89%,58.82%,9/19
5-NO,87,76.34%,81.61%,94.24%,78.89%,16/87
6-MC,33,60.61%,60.61%,97.02%,60.61%,13/33
7-HGSC,15,81.82%,60.00%,99.56%,69.23%,6/15
Macro Average,469,75.93%,69.90%,96.68%,71.97%,104/469
