Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,85.09%,88.18%,95.26%,86.61%,13/110
1-SC,66,67.57%,75.76%,94.04%,71.43%,16/66
2-T,108,86.79%,85.19%,96.12%,85.98%,16/108
3-TCT,31,75.00%,58.06%,98.63%,65.45%,13/31
4-SCH,19,62.50%,52.63%,98.67%,57.14%,9/19
5-NO,87,75.27%,80.46%,93.98%,77.78%,17/87
6-MC,33,70.00%,63.64%,97.94%,66.67%,12/33
7-HGSC,15,75.00%,60.00%,99.34%,66.67%,6/15
Macro Average,469,74.65%,70.49%,96.75%,72.22%,102/469
