Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,85.34%,90.00%,95.26%,87.61%,11/110
1-SC,66,66.67%,75.76%,93.80%,70.92%,16/66
2-T,108,88.89%,81.48%,96.95%,85.02%,20/108
3-TCT,31,75.00%,67.74%,98.40%,71.19%,10/31
4-SCH,19,71.43%,52.63%,99.11%,60.61%,9/19
5-NO,87,75.82%,79.31%,94.24%,77.53%,18/87
6-MC,33,54.29%,57.58%,96.33%,55.88%,14/33
7-HGSC,15,81.82%,60.00%,99.56%,69.23%,6/15
Macro Average,469,74.91%,70.56%,96.71%,72.25%,104/469
