Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,85.05%,82.73%,95.54%,83.87%,19/110
1-SC,66,60.47%,78.79%,91.56%,68.42%,14/66
2-T,108,92.23%,87.96%,97.78%,90.05%,13/108
3-TCT,31,70.59%,77.42%,97.72%,73.85%,7/31
4-SCH,19,87.50%,36.84%,99.78%,51.85%,12/19
5-NO,87,83.33%,91.95%,95.81%,87.43%,7/87
6-MC,33,78.95%,45.45%,99.08%,57.69%,18/33
7-HGSC,15,75.00%,80.00%,99.12%,77.42%,3/15
Macro Average,469,79.14%,72.64%,97.05%,73.82%,93/469
