Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,83.76%,89.09%,94.71%,86.34%,12/110
1-SC,66,63.16%,72.73%,93.05%,67.61%,18/66
2-T,108,88.89%,81.48%,96.95%,85.02%,20/108
3-TCT,31,75.00%,58.06%,98.63%,65.45%,13/31
4-SCH,19,75.00%,47.37%,99.33%,58.06%,10/19
5-NO,87,73.96%,81.61%,93.46%,77.60%,16/87
6-MC,33,51.52%,51.52%,96.33%,51.52%,16/33
7-HGSC,15,75.00%,60.00%,99.34%,66.67%,6/15
Macro Average,469,73.29%,67.73%,96.48%,69.78%,111/469
