Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,86.92%,84.55%,96.10%,85.71%,17/110
1-SC,66,59.57%,84.85%,90.57%,70.00%,10/66
2-T,108,92.71%,82.41%,98.06%,87.25%,19/108
3-TCT,31,83.33%,48.39%,99.32%,61.22%,16/31
4-SCH,19,70.59%,63.16%,98.89%,66.67%,7/19
5-NO,87,77.78%,88.51%,94.24%,82.80%,10/87
6-MC,33,77.78%,63.64%,98.62%,70.00%,12/33
7-HGSC,15,72.73%,53.33%,99.34%,61.54%,7/15
Macro Average,469,77.68%,71.10%,96.89%,73.15%,98/469
