Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,85.84%,88.18%,95.54%,87.00%,13/110
1-SC,66,64.71%,83.33%,92.56%,72.85%,11/66
2-T,108,84.62%,81.48%,95.57%,83.02%,20/108
3-TCT,31,72.00%,58.06%,98.40%,64.29%,13/31
4-SCH,19,81.82%,47.37%,99.56%,60.00%,10/19
5-NO,87,79.31%,79.31%,95.29%,79.31%,18/87
6-MC,33,56.25%,54.55%,96.79%,55.38%,15/33
7-HGSC,15,83.33%,66.67%,99.56%,74.07%,5/15
Macro Average,469,75.98%,69.87%,96.66%,71.99%,105/469
