Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,54.36%,73.64%,81.06%,62.55%,29/110
1-SC,66,48.96%,71.21%,87.84%,58.02%,19/66
2-T,108,52.26%,75.00%,79.50%,61.60%,27/108
3-TCT,31,0.00%,0.00%,100.00%,0.00%,31/31
4-SCH,19,0.00%,0.00%,100.00%,0.00%,19/19
5-NO,87,63.24%,49.43%,93.46%,55.48%,44/87
6-MC,33,100.00%,3.03%,100.00%,5.88%,32/33
7-HGSC,15,0.00%,0.00%,100.00%,0.00%,15/15
Macro Average,469,39.85%,34.04%,92.73%,30.44%,216/469
