Class,Support,Precision,Sensitivity,Specificity,F1-Score,Misclassified
0-CC,110,82.76%,87.27%,94.43%,84.96%,14/110
1-SC,66,62.07%,81.82%,91.81%,70.59%,12/66
2-T,108,92.86%,84.26%,98.06%,88.35%,17/108
3-TCT,31,86.36%,61.29%,99.32%,71.70%,12/31
4-SCH,19,66.67%,63.16%,98.67%,64.86%,7/19
5-NO,87,79.78%,81.61%,95.29%,80.68%,16/87
6-MC,33,78.57%,66.67%,98.62%,72.13%,11/33
7-HGSC,15,81.82%,60.00%,99.56%,69.23%,6/15
Macro Average,469,78.86%,73.26%,96.97%,75.31%,95/469
